Model,,Parameters,Params_perc,Model accuracy,Reference VGG16 accuracy,F1,Size,Model,Time,Model,params,VGG 16
model_0.36.h5,0.36,2735378,18.5894393411535,94,94.6,0.938900203665988,10.4921722412109,model_0.36.h5,2.9922322010994,model_0.36.h5,2735378,2.81095193923295
model_0.37.h5,0.37,2821299,19.1733525032947,94.6,94.6,0.94478527607362,10.819881439209,model_0.37.h5,3.06958341121674,model_0.37.h5,2821299,2.8112232436227
model_0.38.h5,0.38,3335014,22.6645240456339,93.1,94.6,0.929663608562691,12.7790832519531,model_0.38.h5,3.45202443361282,model_0.38.h5,3335014,2.76060126992105
model_0.39.h5,0.39,3564085,24.2212746882571,94.9,94.6,0.949554896142433,13.6526336669922,model_0.39.h5,3.70295605659485,model_0.39.h5,3564085,2.76573881925318
model_0.4.h5,0.4,3777842,25.6739524480573,94.2,94.6,0.94188376753507,14.4678192138672,model_0.4.h5,3.85263511896133,model_0.4.h5,3777842,2.74322841110876
model_0.41.h5,0.41,4080909,27.7335747791594,92.8,94.6,0.930635838150289,15.6255836486816,model_0.41.h5,4.1428879737854,model_0.41.h5,4080909,2.71101134690655
model_0.42.h5,0.42,4372913,29.7180137288674,91.7,94.6,0.919495635305529,16.7412528991699,model_0.42.h5,4.23276141405106,model_0.42.h5,4372913,2.67959198243916
model_0.43.h5,0.43,4569716,31.0554732794878,88,94.6,0.870410367170626,17.4938125610352,model_0.43.h5,4.42752046823502,model_0.43.h5,4569716,2.6149546363208
model_0.44.h5,0.44,5005173,34.0148088766816,88.5,94.6,0.875406283856988,19.1545562744141,model_0.44.h5,4.73506354093552,model_0.44.h5,5005173,2.59055064547493
model_0.45.h5,0.45,5426295,36.876724807213,93.7,94.6,0.934306569343065,20.7607078552246,model_0.45.h5,4.97291894674301,model_0.45.h5,5426295,2.62327110847856
model_0.46.h5,0.46,5582032,37.9351026674844,93,94.6,0.927234927234927,21.3546676635742,model_0.46.h5,5.09698971271515,model_0.46.h5,5582032,2.605340096887
model_0.47.h5,0.47,5717847,38.8580919962421,95.7,94.6,0.956521739130435,21.8726539611816,model_0.47.h5,5.22101776361466,model_0.47.h5,5717847,2.6265837962878
model_0.48.h5,0.48,6048716,41.1066547928165,95.3,94.6,0.95351137487636,23.1345672607422,model_0.48.h5,5.52586447238922,model_0.48.h5,6048716,2.60099377717132
model_0.49.h5,0.49,6352090,43.1683634746452,95.4,94.6,0.953815261044177,24.2916488647461,model_0.49.h5,5.69351890563965,model_0.49.h5,6352090,2.58067645597968
model_0.5.h5,0.5,6927998,47.0821943353471,98.1,94.6,0.981018981018981,26.4881477355957,model_0.5.h5,6.22357429027557,model_0.5.h5,6927998,2.56980038982675
model_0.51.h5,0.51,7129320,48.4503646968254,98,94.6,0.980119284294235,27.2560005187988,model_0.51.h5,6.33257194757462,model_0.51.h5,7129320,2.55518642530196
model_0.52.h5,0.52,8108145,55.1023915695664,97.3,94.6,0.972533062054934,30.9912986755371,model_0.52.h5,6.76191100120544,model_0.52.h5,8108145,2.48077266017683
