Model,,Parameters,Params_perc,Accuracy,Reference AlexNet accuracy,F1,Size[MB],Model,Time[s],Model,params,AlexNet
model_0.6_al.h5,0.6,1349287,36.0041829616094,94.52,94.2,0.939424031777557,5.17922973632813,model_0.6_al.h5,0.336975193023682,model_0.6_al.h5,1349287,2.71207198703521
model_0.61_al.h5,0.61,1398200,37.3093705171118,94.48,94.2,0.948207171314741,5.36574554443359,model_0.61_al.h5,0.34420050907135,model_0.61_al.h5,1398200,2.71087606471252
model_0.62_al.h5,0.62,1435101,38.2940315680716,94.3,94.2,0.945273631840796,5.50645446777344,model_0.62_al.h5,0.348754079341888,model_0.62_al.h5,1435101,2.70006170406814
model_0.63_al.h5,0.63,1485531,39.6396985364437,94.52,94.2,0.942115768463074,5.69875717163086,model_0.63_al.h5,0.370868009090424,model_0.63_al.h5,1485531,2.68615980022145
model_0.64_al.h5,0.64,1530894,40.8501583953822,94.72,94.2,0.944554455445544,5.87173843383789,model_0.64_al.h5,0.380463332653046,model_0.64_al.h5,1530894,2.67914487421586
model_0.65_al.h5,0.65,1582967,42.2396669427557,94.96,94.2,0.941757156959526,6.07030868530273,model_0.65_al.h5,0.386689082622528,model_0.65_al.h5,1582967,2.66527925898595
model_0.66_al.h5,0.66,1629779,43.4887917122071,94.56,94.2,0.942687747035573,6.24881744384766,model_0.66_al.h5,0.39395111656189,model_0.66_al.h5,1629779,2.65638289827598
model_0.67_al.h5,0.67,1683495,44.9221418385819,94.36,94.2,0.946640316205534,6.45365524291992,model_0.67_al.h5,0.415115879058838,model_0.67_al.h5,1683495,2.64916788529326
model_0.68_al.h5,0.68,1723951,46.0016640053965,94.86,94.2,0.95069033530572,6.60792541503906,model_0.68_al.h5,0.421639467716217,model_0.68_al.h5,1723951,2.64484921219466
model_0.69_al.h5,0.69,1779184,47.475493544641,94.82,94.2,0.947885939036381,6.81855010986328,model_0.69_al.h5,0.441036469936371,model_0.69_al.h5,1779184,2.63031046844923
model_0.7_al.h5,0.7,1835287,48.9725380405082,94.75,94.2,0.948818897637795,7.03249359130859,model_0.7_al.h5,0.453188039302826,model_0.7_al.h5,1835287,2.61945962404141
model_0.71_al.h5,0.71,1880769,50.186173278571,94.75,94.2,0.949753694581281,7.20594787597656,model_0.71_al.h5,0.477222133159637,model_0.71_al.h5,1880769,2.61084786697392
model_0.72_al.h5,0.72,1938440,51.7250580640754,94.99,94.2,0.952569169960474,7.42587280273438,model_0.72_al.h5,0.484302686214447,model_0.72_al.h5,1938440,2.60161700040216
model_0.73_al.h5,0.73,1990214,53.1065881378509,94.87,94.2,0.951628825271471,7.62331008911133,model_0.73_al.h5,0.479643571376801,model_0.73_al.h5,1990214,2.58973750751559
