Model,,Parameters,Params_perc,Accuracy,Reference AlexNet accuracy,F1,Size[MB],Model,Time[s],Model,params,AlexNet
model_0.52_al.h5,0.52,1014436,27.0690663638227,92.7,93.14,0.928501469147894,3.90046310424805,model_0.52_al.h5,0.326891951560974,model_0.52_al.h5,1014436,2.77129635832984
model_0.53_al.h5,0.53,1051997,28.0713387611859,93.3,93.14,0.934119960668633,4.04563522338867,model_0.53_al.h5,0.332452464103699,model_0.53_al.h5,1051997,2.76920469326745
model_0.54_al.h5,0.54,1095237,29.2251487891933,92.5,93.14,0.926542605288932,4.21051025390625,model_0.54_al.h5,0.341083934307098,model_0.54_al.h5,1095237,2.75224575189009
model_0.55_al.h5,0.55,1134247,30.2660860970695,93.1,93.14,0.932419196865818,4.35925674438477,model_0.55_al.h5,0.353913493156433,model_0.55_al.h5,1134247,2.7501225799717
model_0.56_al.h5,0.56,1172693,31.2919737089282,93.5,93.14,0.935707220573689,4.50585174560547,model_0.56_al.h5,0.363280007839203,model_0.56_al.h5,1172693,2.74541922561009
model_0.57_al.h5,0.57,1213044,32.3686940706332,93.5,93.14,0.935960591133005,4.65971374511719,model_0.57_al.h5,0.382100071907043,model_0.57_al.h5,1213044,2.7371886408852
model_0.58_al.h5,0.58,1259444,33.6068250905116,93.9,93.14,0.939424031777557,4.83664321899414,model_0.58_al.h5,0.38535754442215,model_0.58_al.h5,1259444,2.73099592813873
model_0.59_al.h5,0.59,1301244,34.7222103627297,93.6,93.14,0.936633663366337,4.99603271484375,model_0.59_al.h5,0.439821796417236,model_0.59_al.h5,1301244,2.71930149931283
model_0.6_al.h5,0.6,1349287,36.0041829616094,93.9,93.14,0.939424031777557,5.17922973632813,model_0.6_al.h5,0.399808790683746,model_0.6_al.h5,1349287,2.71207198703521
model_0.61_al.h5,0.61,1398200,37.3093705171118,94.8,93.14,0.948207171314741,5.36574554443359,model_0.61_al.h5,0.410037038326263,model_0.61_al.h5,1398200,2.71087606471252
model_0.62_al.h5,0.62,1435101,38.2940315680716,94.5,93.14,0.945273631840796,5.50645446777344,model_0.62_al.h5,0.417834198474884,model_0.62_al.h5,1435101,2.70006170406814
model_0.63_al.h5,0.63,1485531,39.6396985364437,94.2,93.14,0.942115768463074,5.69875717163086,model_0.63_al.h5,0.437368848323822,model_0.63_al.h5,1485531,2.68615980022145
model_0.64_al.h5,0.64,1530894,40.8501583953822,94.4,93.14,0.944554455445544,5.87173843383789,model_0.64_al.h5,0.448638343811035,model_0.64_al.h5,1530894,2.67914487421586
model_0.65_al.h5,0.65,1582967,42.2396669427557,94.1,93.14,0.941757156959526,6.07030868530273,model_0.65_al.h5,0.457403147220612,model_0.65_al.h5,1582967,2.66527925898595
model_0.66_al.h5,0.66,1629779,43.4887917122071,94.2,93.14,0.942687747035573,6.24881744384766,model_0.66_al.h5,0.467492234706879,model_0.66_al.h5,1629779,2.65638289827598
model_0.67_al.h5,0.67,1683495,44.9221418385819,94.6,93.14,0.946640316205534,6.45365524291992,model_0.67_al.h5,0.492617194652557,model_0.67_al.h5,1683495,2.64916788529326
model_0.68_al.h5,0.68,1723951,46.0016640053965,95,93.14,0.95069033530572,6.60792541503906,model_0.68_al.h5,0.499496667385101,model_0.68_al.h5,1723951,2.64484921219466
